pi,ro,collab,institute,scope,collabing_pi
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Joel  Swendsen,"University of Bordeaux, France, Department of Psychology",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Vadim  Zipunnikov,Johns Hopkins University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Jules  Angst,"University of Zurich, Switzerland",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Joan  Casey,"Columbia University, Department of Environmental Health Sciences",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Kathy  Georgiades,"McMaster University, Ontario, Psychiatry and Behavioral Neuroscience",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Peter  James,"Harvard University, Department of Environmental Health",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Femke  Lamers,"VU University Medical Center, Netherlands",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Michael  Milham,"Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Martin  Preisig,"University of Lausanne, Switzerland",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Joel  Swendsen,"University of Bordeaux, France, Department of Psychology",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Jihui  Zhang,Chinese University of Hong Kong,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Vadim  Zipunnikov,Johns Hopkins University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Judy  Cameron,University of Pittsburgh,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Adi  Gherman,Johns Hopkins University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Ian  Hickie,"University of Sydney, Australia, Brain and Mind Centre",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Arno  Klein,"Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Femke  Lamers,"VU University Medical Center, Netherlands",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Andrew  Leroux,University of Colorado Denver,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Nick  Martin,"Queensland Institute of Medical Research, Australia",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Alison  Merikangas,Children's Hospital of Philadelphia,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Brenda  Penninx,"VU University Medical Center, Netherlands",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Martin  Preisig,"University of Lausanne, Switzerland",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Haochang  Shou,"University of Pennsylvania, Department of Biostatistics",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Marie-Pierre  Strippoli,"University of Lausanne, Switzerland",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Joel  Swendsen,"University of Bordeaux, France, Department of Psychology",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Peter  Szatmari,"Centre for Addiction and Mental Health, Toronto, Ontario, Canada",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Celine  Vetter,"Munich, Germany",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Margie  Wright,"Queensland Institute of Medical Research, Australia",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Yao  Xiao,"Child Mind Institute, New York",EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Jihui  Zhang,Chinese University of Hong Kong,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,Vadim  Zipunnikov,Johns Hopkins University,EM,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Kong Yin Chen, PhD",NIDDK,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Paule Valery Joseph, PhD",NIAAA,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Nora D Volkow, MD",NIDA,NIH,
"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,"Gene-Jack  Wang, MD, MPH",NIAAA,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH,"Charles R Gerfen, PhD"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Zheng  Li, PhD",Section on Synapse Development Plasticity,NIMH,"Zheng  Li, PhD"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,NIMH,"Mario Alexander Penzo, PhD"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Hugo Alejandro Tejeda, PhD",Unit of Neuromodulation and Synaptic Integration,NIMH,"Hugo Alejandro Tejeda, PhD"
"Lee E Eiden, PhD",Section on Molecular Neuroscience,Youssef  Anouar,"University of Rouen, IFRMP 23",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,Uri  Ashery,"Life Sciences Faculty, Tel Aviv University, Department of Neurobiolgoy",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,Ralf  Kinsherf,"Marburg University, Dept. of Anatomy",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,Sushil  Mahata,"University of California, San Diego",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,Eberhard  Weihe,"Philipp University of Marburg, Institute of Anatomy and Cell Biology",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,L  Zhang-deBarrio,"National Autonomous University of Mexico, Department of Physiology",EM,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Abdel G Elkahloun, PhD",NHGRI,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Marc  Ferrer, PhD",NCATS,NIH,
"Lee E Eiden, PhD",Section on Molecular Neuroscience,"Xin  Hu, PhD",NCATS,NIH,
"Leslie G Ungerleider, PhD",Section on Neurocircuitry,"David A Leopold, PhD",Section on Cognitive Neurophysiology and Imaging,NIMH,"David A Leopold, PhD"
"Leslie G Ungerleider, PhD",Section on Neurocircuitry,R  Gattass,"Federal University of Rio de Janeiro, Neuroscience",EM,
"Leslie G Ungerleider, PhD",Section on Neurocircuitry,Galia  Avidan,Ben-Gurion University of the Negev,EM,
"Leslie G Ungerleider, PhD",Section on Neurocircuitry,Marlene  Behrmann,Carnegie Mellon University,EM,
"Leslie G Ungerleider, PhD",Section on Neurocircuitry,David  Pitcher,"University of York, Department of Psychology",EM,
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Yogita  Chudasama, PhD",Rodent Behavioral Core,NIMH,"Yogita  Chudasama, PhD"
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH,"Charles R Gerfen, PhD"
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Samer Saleh Hattar, PhD",Section on Light and Circadian Rhythms,NIMH,"Samer Saleh Hattar, PhD"
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Charles R Gerfen, PhD",Organization of the Cortex and Basal Ganglia,NIMH,"Charles R Gerfen, PhD"
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,Karl  Deisseroth,Stanford University,EM,
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,Michael  Tadross,"Duke University, Biomedical Engineering",EM,
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,Ian  Wickersham,Massachusetts Institute of Technology,EM,
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Andrew  Holmes, PhD",NIAAA,NIH,
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Mark A Hoon, PhD",NIDCR,NIH,
"Mario Alexander Penzo, PhD",Unit on the Neurobiology of Affective Memory,"Michael J Krashes, PhD",NIDDK,NIH,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Charles Yang Zheng, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Francisco  Pereira, PhD",Machine Learning Team,NIMH,"Francisco  Pereira, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Charles Yang Zheng, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Dietmar  Plenz, PhD",Section on Critical Brain Dynamics,NIMH,"Dietmar  Plenz, PhD"
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Andrea  Giovannucci,"University of North Carolina at Chapel Hill / NC State University, Bioengineering",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Eftychios  Pnevmatikakis,"Flatiron Health (United States), Center for Computational Mathematics",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Nicolas  Brunel,Duke University,EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Kenneth D Miller,"Columbia University, Neuroscience",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Alessandro  Sanzeni,"Bocconi University, Computing Sciences",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Behtash  Babadi,"University of Maryland, Baltimore, Dept. of Electrical & Computer Engineering",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,P  Kanold,"University of Maryland, Baltimore, Department of Biology",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Wolfgang  Losert,"University of Maryland, Baltimore, Department of Physics",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,John  Maunsell,"University of Chicago, Research",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Nicolas  Brunel,Duke University,EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,Kenneth D Miller,"Columbia University, Neuroscience",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,J H Reynolds,"Salk Institute for Biological Studies, Systems Neurobiology Laboratory",EM,
"Mark H Histed, PhD",Unit on Neural Computation and Behavior,"Ariel Johanna Levine, MD",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Elizabeth Day Ballard, PhD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH,"Peter A Bandettini, BS, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Monique  Ernst, MD, PhD",Section on Neurobiology of Fear and Anxiety,NIMH,"Christian  Grillon, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Jian-Ping  He, MS",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Shruti A Japee, BS, MS, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Francis Joseph McMahon, MD",Section on the Genetic Basis of Mood and Anxiety Disorders,NIMH,"Francis Joseph McMahon, MD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Kathleen R Merikangas, PhD",Section on Developmental Genetic Epidemiology,NIMH,"Kathleen R Merikangas, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH,"Armin  Raznahan, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Adam G Thomas, DPhil",Data Science and Sharing Team,NIMH,"Adam G Thomas, DPhil"
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Audrey E Thurm, PhD",Neurodevelopmental and Behavioral Phenotyping Service,NIMH,"Audrey E Thurm, PhD"
"Maryland  Pao, BA, MD",Office of the Clinical Director,John  Ackerman,"Nationwide Children's Hospital, Research Institute",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Laika  Aguinaldo,University of San Diego,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Joan  Asarnow,"University of California, Los Angeles, Psychiatry and Behavioral Sciences",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,A  Barczyk,Dell Children's Medical Center of Central Texas,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,E  Beardsley,Seattle Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,G  Blaschke,Oregon Health & Science University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Edwin  Boudreaux,"University of Massachusetts Medical School, Department of Emergency Medicine",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Khyati  Brahmbhatt,UCSF Benioff Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Jeffrey  Bridge,"Nationwide Children's Hospital, Research Institute",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,J  Cai,Walter Reed National Military Medical Center,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,John  Campo,West Virginia University Hospitals,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Terrell  Carter,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,C  Claassen,John Peter Smith Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Paula  Cloutier,Children's Hospital of Eastern Ontario,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Mary  Cwik,Johns Hopkins University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,T  Dao,Walter Reed National Military Medical Center,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,J  DeVylder,Fordham University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Pamela  End of horn,Indian Health Service,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Lia  Gaggino,University of Michigan–Ann Arbor,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Catherine  Glenn,Old Dominion University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Kathy  Goggin,Children's Mercy Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Rachel  Greenbaum,Surrey Place Centre,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Jacqueline  Grupp-Phelan,UCSF Benioff Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Erin  Harlow-Parker,Children's Healthcare of Atlanta,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,C  Harrington,Rhode Island Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Beth  Helm,Whiteriver Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,David  Jobes,"Catholic University of America, Department of Psychology",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,M  Joseph,University of Florida,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,S  Kapetanovic,"University of Southern California, Department of Psychiatry",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Alison  Kennedy,Children's Hospital of Eastern Ontario,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,M  LeCloux,West Virginia University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Ron-Li  Liaw,New York University Langone Medical Center,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Paul  Lipkin,Kennedy Krieger Institute,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Becky  Lois,New York University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Joanne  Mathews,University of Kentucky HealthCare,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Alexander  Milner,Howard University Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,A  Moemeka,Aetna (United States),EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Matthew  Nock,Harvard University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Kathi  Pager,Children's Hospital of Eastern Ontario,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,William  Reynolds,"Humboldt State University, Department of Psychology",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Kimberly  Roaten,The University of Texas Southwestern Medical Center,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,R  Robinson,Dell Children's Medical Center of Central Texas,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Donald  Rosenstein,University of North Carolina at Chapel Hill,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Suzanne  Rybczynski,Kennedy Krieger Institute,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Arielle  Sheftall,Nationwide Children's Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Matthew  Siegel,Maine Medical Center Research Institute,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Sherri  Smith,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Barbara  Stanley,Columbia University Medical Center,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Shayla  Sullivant,Children's Mercy Hospital,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Fan  Tait,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Debra  Waldron,American Academy of Pediatrics,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Elizabeth  Wharff,"Boston Children's Hospital, Dept of Emergency Psychiatry",EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Holly  Wilcox,Johns Hopkins University,EM,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Brian Keith Agan,NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Manfred  Boehm, MD",NHLBI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Alison Marie Boyce, MD",NIDCR,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Michael T Collins, MD",NIDCR,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Irene Claudia Maria Cortese, MD",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Raphaela  Goldbach-Mansky, MD, MHS",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Meral  Gunay-Aygun, MD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Steven M Holland, MD",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Wendy Jewell Introne, MD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Barbara Ann Jordan,CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Julie J Kohn-Godbout,CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Andra Valentina Krauze,NCI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Eirini  Manoli, MD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Caryn G Morse, MD",CC,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Avindra  Nath, MD",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Ann C.M. Smith, MA, DSc (hon)",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Bryan Richard Smith, MD",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Michael C Sneller, MD",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Charles Paul Venditti, BS, MD, PhD",NHGRI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Brian T Walitt, MD, MPH",NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Lori  Wiener, PhD",NCI,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Edythe  Wiggs,NINDS,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,"Peter Richard Williamson, MD, PhD",NIAID,NIH,
"Maryland  Pao, BA, MD",Office of the Clinical Director,Sima Lehimgar Zadeh,NCI,NIH,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Robert  Innis, MD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Sarah Hollingsworth Lisanby, MD",Unit on Non-invasive Neuromodulation,NIMH,"Sarah Hollingsworth Lisanby, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,S  Epstein,MedStar Washington Hospital Center,EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,Ted  Liao,"Georgetown University Medical Center, Psychiatry",EM,
"Maryland  Pao, BA, MD",Psychiatry Clinical Research Training,"Michael C Sneller, MD",NIAID,NIH,
"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,Ned H. Kalin,"University of Washington, Psychiatry",EM,
"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,Joel  Stoddard,"University of Colorado Denver, Psychiatry",EM,
"Melissa A Brotman, PhD",Unit on Neuroscience and Novel Therapeutics,Wan-Ling  Tseng,"Yale University, Child Study Center",EM,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Barbara K Lipska, PhD",Human Brain Collection Core,NIMH,"Barbara K Lipska, PhD"
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,M  Clatworthy,"University of Cambridge, Department of Medicine, Laboratory of Molecular Biology",EM,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Abdel G Elkahloun, PhD",NHGRI,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Ferenc  Livak, MD",NCI,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Dorian  McGavern, PhD",NINDS,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"M. Catherine  Bushnell, PhD",NCCIH,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Audrey  Noguchi, BS",NHLBI,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Brian  Kelsall, MD",NIAID,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Mark Robert Cookson, PhD",NIA,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Leorey Nagac Saligan, PhD",NINR,NIH,
"Miles  Herkenham, PhD",Section on Functional Neroanatomy,"Zuxi  Yu, MD, PhD",NHLBI,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Bruno B Averbeck, PhD",Section on Learning and Decision Making,NIMH,"Bruno B Averbeck, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Christopher Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Christopher Ian Baker, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Robert  Cox, PhD",Scientific and Statistical Computing Core,NIMH,"Robert  Cox, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Christian  Grillon, PhD",Section on Neurobiology of Fear and Anxiety,NIMH,"Christian  Grillon, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Ellen  Leibenluft, MD",Section on Mood Dysregulation and Neuroscience,NIMH,"Ellen  Leibenluft, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,NIMH,"Alex  Martin, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Elisha Prem Merriam, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Armin  Raznahan, PhD",Unit on Developmental Neurogenomics,NIMH,"Armin  Raznahan, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Peter J Schmidt, MD",Section on Behavioral Endocrinology,NIMH,"Peter J Schmidt, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Jun  Shen, PhD",Molecular Imaging Branch,NIMH,"Robert  Innis, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Argyrios  Stringaris, PhD",Section on Mood Dysregulation and Neuroscience,NIMH,"Ellen  Leibenluft, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Leslie G Ungerleider, PhD",Section on Neurocircuitry,NIMH,"Leslie G Ungerleider, PhD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Carlos Alberto Zarate, MD",Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Peter A Bandettini, BS, PhD",Functional MRI Core,R  Birn,University of Wisconsin–Madison,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,Nicholas  Blockley,University of Nottingham,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,T  Ernst,University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,T  Liu,"University of California, San Diego",EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,S  Moeller,University of Minnesota,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,J  Polimeni,Massachusetts General Hospital,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,B  Poser,Maastricht University,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,B  Rutt,Stanford University,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,K  Setsompop,Massachusetts General Hospital,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,Thomas  Witzel,"Massachusetts General Hospital, Martinos Center, Radiology",EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,E  Wong,"UC San Diego Health System, Radiology",EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,E  Yacoub,Massachusetts General Hospital,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,M  Zaitsev,University of Freiburg,EM,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Lauren Yvette Atlas, PhD",NCCIH,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Peter Joel Basser, SM, AB, PhD",NICHD,NIH,
"Peter A Bandettini, BS, PhD",Functional MRI Core,"Bibiana  Bielekova, MD",NIAID,NIH,
